Date,Temperature,Humidity,Pressure,WindSpeed,Prev_Temp,Prev_Humidity,Prev_WindSpeed,Prev_Pressure,Year,Month,Day
2026-06-11,25.333333333333332,76.0,1009.7166666666667,11.729166666666666,25.525000000000002,74.95833333333333,15.799999999999999,1010.1583333333333,2026,6,11
2026-06-12,24.95,77.95833333333333,1010.8458333333333,10.808333333333332,25.333333333333332,76.0,11.729166666666666,1009.7166666666667,2026,6,12
2026-06-13,24.645833333333332,82.25,1011.4916666666667,9.604166666666666,24.95,77.95833333333333,10.808333333333332,1010.8458333333333,2026,6,13
2026-06-14,25.15416666666667,78.20833333333333,1010.8375,11.7875,24.645833333333332,82.25,9.604166666666666,1011.4916666666667,2026,6,14
2026-06-15,26.295833333333334,65.5,1009.7583333333333,11.033333333333333,25.15416666666667,78.20833333333333,11.7875,1010.8375,2026,6,15
2026-06-16,26.59583333333333,70.25,1009.775,8.237499999999999,26.295833333333334,65.5,11.033333333333333,1009.7583333333333,2026,6,16
2026-06-17,26.9875,70.125,1010.0166666666668,9.279166666666667,26.59583333333333,70.25,8.237499999999999,1009.775,2026,6,17
2026-06-18,24.47083333333333,82.04166666666667,1011.025,10.129166666666666,26.9875,70.125,9.279166666666667,1010.0166666666668,2026,6,18
2026-06-19,24.837500000000002,79.83333333333333,1010.8791666666666,8.108333333333333,24.47083333333333,82.04166666666667,10.129166666666666,1011.025,2026,6,19
2026-06-20,26.1125,71.58333333333333,1010.7624999999999,7.325,24.837500000000002,79.83333333333333,8.108333333333333,1010.8791666666666,2026,6,20
2026-06-21,26.208333333333332,72.70833333333333,1010.6208333333334,9.129166666666666,26.1125,71.58333333333333,7.325,1010.7624999999999,2026,6,21
2026-06-22,25.379166666666666,76.04166666666667,1010.8625000000001,12.870833333333332,26.208333333333332,72.70833333333333,9.129166666666666,1010.6208333333334,2026,6,22
2026-06-23,25.733333333333334,70.16666666666667,1010.5458333333332,17.233333333333334,25.379166666666666,76.04166666666667,12.870833333333332,1010.8625000000001,2026,6,23
2026-06-24,25.9375,66.95833333333333,1010.0625,15.483333333333334,25.733333333333334,70.16666666666667,17.233333333333334,1010.5458333333332,2026,6,24
2026-06-25,25.474999999999998,73.70833333333333,1009.9499999999999,14.791666666666666,25.9375,66.95833333333333,15.483333333333334,1010.0625,2026,6,25
2026-06-26,25.95,70.875,1009.7291666666666,13.108333333333334,25.474999999999998,73.70833333333333,14.791666666666666,1009.9499999999999,2026,6,26
2026-06-27,26.566666666666666,69.41666666666667,1008.8208333333333,12.516666666666666,25.95,70.875,13.108333333333334,1009.7291666666666,2026,6,27
2026-06-28,25.291666666666668,76.45833333333333,1008.5833333333334,14.362499999999999,26.566666666666666,69.41666666666667,12.516666666666666,1008.8208333333333,2026,6,28
2026-06-29,24.441666666666666,80.04166666666667,1009.5375,16.008333333333333,25.291666666666668,76.45833333333333,14.362499999999999,1008.5833333333334,2026,6,29
2026-06-30,25.099999999999998,73.25,1009.9916666666667,19.3625,24.441666666666666,80.04166666666667,16.008333333333333,1009.5375,2026,6,30
2026-07-01,24.504166666666666,73.20833333333333,1009.9666666666667,20.0625,25.099999999999998,73.25,19.3625,1009.9916666666667,2026,7,1
2026-07-02,25.075,75.33333333333333,1009.6833333333334,19.474999999999998,24.504166666666666,73.20833333333333,20.0625,1009.9666666666667,2026,7,2
2026-07-03,25.1875,72.95833333333333,1010.1083333333332,20.129166666666666,25.075,75.33333333333333,19.474999999999998,1009.6833333333334,2026,7,3
2026-07-04,24.59583333333333,76.625,1009.25,22.695833333333336,25.1875,72.95833333333333,20.129166666666666,1010.1083333333332,2026,7,4
2026-07-05,25.545833333333334,67.58333333333333,1008.8333333333334,24.833333333333332,24.59583333333333,76.625,22.695833333333336,1009.25,2026,7,5
2026-07-06,25.6375,68.45833333333333,1008.8541666666666,23.78333333333333,25.545833333333334,67.58333333333333,24.833333333333332,1008.8333333333334,2026,7,6
2026-07-07,25.599999999999998,69.29166666666667,1009.625,24.7,25.6375,68.45833333333333,23.78333333333333,1008.8541666666666,2026,7,7
2026-07-08,25.474999999999998,72.5,1009.4666666666667,19.608333333333334,25.599999999999998,69.29166666666667,24.7,1009.625,2026,7,8
2026-07-09,25.962500000000002,72.58333333333333,1010.2416666666667,15.5625,25.474999999999998,72.5,19.608333333333334,1009.4666666666667,2026,7,9
2026-07-10,25.141666666666666,78.58333333333333,1011.6708333333332,13.691666666666668,25.962500000000002,72.58333333333333,15.5625,1010.2416666666667,2026,7,10
2026-07-11,26.516666666666666,68.58333333333333,1010.4791666666666,15.9125,25.141666666666666,78.58333333333333,13.691666666666668,1011.6708333333332,2026,7,11
2026-07-12,26.854166666666668,65.125,1008.775,16.204166666666666,26.516666666666666,68.58333333333333,15.9125,1010.4791666666666,2026,7,12
2026-07-13,27.0125,63.666666666666664,1009.3291666666668,16.304166666666667,26.854166666666668,65.125,16.204166666666666,1008.775,2026,7,13
2026-07-14,26.90833333333333,61.625,1009.3833333333333,12.491666666666667,27.0125,63.666666666666664,16.304166666666667,1009.3291666666668,2026,7,14
2026-07-15,26.566666666666666,62.208333333333336,1010.2916666666666,13.241666666666667,26.90833333333333,61.625,12.491666666666667,1009.3833333333333,2026,7,15
2026-07-16,25.9875,64.58333333333333,1010.8958333333334,12.354166666666666,26.566666666666666,62.208333333333336,13.241666666666667,1010.2916666666666,2026,7,16
2026-07-17,24.379166666666666,79.0,1011.1666666666666,14.054166666666667,25.9875,64.58333333333333,12.354166666666666,1010.8958333333334,2026,7,17
2026-07-18,24.416666666666668,78.5,1010.7708333333334,13.845833333333333,24.379166666666666,79.0,14.054166666666667,1011.1666666666666,2026,7,18
2026-07-19,25.241666666666664,72.41666666666667,1010.4791666666666,13.645833333333334,24.416666666666668,78.5,13.845833333333333,1010.7708333333334,2026,7,19
2026-07-20,24.65416666666667,78.29166666666667,1011.0333333333333,14.741666666666667,25.241666666666664,72.41666666666667,13.645833333333334,1010.4791666666666,2026,7,20
2026-07-21,25.8625,68.79166666666667,1010.8083333333334,14.216666666666667,24.65416666666667,78.29166666666667,14.741666666666667,1011.0333333333333,2026,7,21
2026-07-22,24.766666666666666,76.75,1011.1541666666667,14.870833333333332,25.8625,68.79166666666667,14.216666666666667,1010.8083333333334,2026,7,22
2026-07-23,26.2,66.375,1009.9958333333334,15.720833333333333,24.766666666666666,76.75,14.870833333333332,1011.1541666666667,2026,7,23
2026-07-24,25.758333333333336,70.45833333333333,1009.8833333333333,16.291666666666668,26.2,66.375,15.720833333333333,1009.9958333333334,2026,7,24
2026-07-25,25.229166666666668,71.79166666666667,1009.7708333333334,14.950000000000001,25.758333333333336,70.45833333333333,16.291666666666668,1009.8833333333333,2026,7,25
2026-07-26,25.733333333333334,70.33333333333333,1009.3291666666668,16.883333333333333,25.229166666666668,71.79166666666667,14.950000000000001,1009.7708333333334,2026,7,26
2026-07-27,26.375,68.45833333333333,1008.35,18.5125,25.733333333333334,70.33333333333333,16.883333333333333,1009.3291666666668,2026,7,27
2026-07-28,25.991666666666664,70.95833333333333,1007.8000000000001,18.662499999999998,26.375,68.45833333333333,18.5125,1008.35,2026,7,28
2026-07-29,25.883333333333336,70.66666666666667,1007.15,21.454166666666666,25.991666666666664,70.95833333333333,18.662499999999998,1007.8000000000001,2026,7,29
2026-07-30,26.058333333333334,70.54166666666667,1005.4541666666668,21.820833333333336,25.883333333333336,70.66666666666667,21.454166666666666,1007.15,2026,7,30
2026-07-31,25.758333333333336,74.25,1005.7125,19.691666666666666,26.058333333333334,70.54166666666667,21.820833333333336,1005.4541666666668,2026,7,31
2026-08-01,25.233333333333334,75.625,1007.5833333333334,17.945833333333333,25.758333333333336,74.25,19.691666666666666,1005.7125,2026,8,1
2026-08-02,25.71666666666667,73.54166666666667,1008.9916666666667,17.1375,25.233333333333334,75.625,17.945833333333333,1007.5833333333334,2026,8,2
2026-08-03,25.037499999999998,76.125,1009.9958333333334,15.758333333333333,25.71666666666667,73.54166666666667,17.1375,1008.9916666666667,2026,8,3
2026-08-04,24.258333333333336,82.45833333333333,1010.5708333333333,14.183333333333335,25.037499999999998,76.125,15.758333333333333,1009.9958333333334,2026,8,4
2026-08-05,24.508333333333336,79.95833333333333,1009.6458333333334,15.804166666666667,24.258333333333336,82.45833333333333,14.183333333333335,1010.5708333333333,2026,8,5
2026-08-06,23.991666666666664,83.16666666666667,1009.2041666666668,13.491666666666667,24.508333333333336,79.95833333333333,15.804166666666667,1009.6458333333334,2026,8,6
2026-08-07,23.495833333333334,85.16666666666667,1008.9625,15.470833333333333,23.991666666666664,83.16666666666667,13.491666666666667,1009.2041666666668,2026,8,7
2026-08-08,24.8625,75.70833333333333,1008.8249999999999,16.9875,23.495833333333334,85.16666666666667,15.470833333333333,1008.9625,2026,8,8
2026-08-09,25.337500000000002,73.95833333333333,1009.4333333333334,15.908333333333333,24.8625,75.70833333333333,16.9875,1008.8249999999999,2026,8,9
